Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
13/01/2011,1386.9,1392.5,1386.1,1371.4
13/01/2012,1630.4,1643.4,1638.9,1632.4
13/01/2014,1250.9,1252.7,1250.6,1245.5
13/01/2015,1374.5,1377.4,1377.4,1377.4
13/01/2016,1137.4,1137.4,1137.4,1137.4
13/01/2017,1281.3,1281.3,1281.3,1281.3
13/01/2020,1577.5,1586.8,1586.8,1574.9
13/02/2012,1723,1733,1725,1718.4
13/02/2013,1644.2,1652.3,1652.2,1640.2
13/02/2014,1300.4,1303.5,1293.3,1287.5
13/02/2015,1325.2,1325.2,1325.2,1325.2
13/02/2017,1304.9,1304.9,1304.9,1304.9
13/02/2018,1424.8,1424.8,1424.8,1424.8
13/02/2019,1374.6,1374.6,1374.6,1374.6
13/02/2020,1599.6,1602,1594.4,1594
13/03/2012,1693.7,1701.7,1698.4,1685.1
13/03/2013,1588.3,1596,1592.3,1585
13/03/2014,1372.2,1374.5,1366.8,1366.5
13/03/2015,1248.9,1248.9,1248.9,1248.9
13/03/2017,1286.6,1294,1294,1294
13/03/2018,1431.4,1433.4,1433.4,1433.4
13/03/2019,1368.1,1368.1,1368.1,1368.1
13/03/2020,1524.9,1604.2,1592.6,1514.3
13/04/2011,1454.9,1462,1455,1454
13/04/2012,1659.1,1674.8,1673.3,1650
13/04/2015,1287.8,1287.8,1287.8,1287.8
13/04/2016,1293.9,1293.9,1293.9,1293.9
13/04/2017,1366.7,1366.7,1366.7,1366.7
13/04/2018,1447.9,1447.9,1447.9,1447.9
13/04/2020,1762.7,1773.5,1741.6,1725
13/05/2011,1493.4,1511.3,1503.5,1490.2
13/05/2013,1434.5,1440.6,1440,1427.8
13/05/2014,1294.6,1295.5,1295.5,1292
13/05/2015,1312.2,1312.2,1312.2,1312.2
13/05/2016,1319.5,1319.5,1319.5,1319.5
13/05/2019,1350.2,1350.2,1350.2,1350.2
13/05/2020,1737.3,1744.5,1726.6,1721
13/06/2011,1515,1533,1528.1,1511.3
13/06/2012,1618.1,1622.4,1608.2,1608.2
13/06/2013,1377.6,1390.9,1386.8,1373.4
