"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/01/2021","3,5200","3,5200","3,5200","3,5200","-","-0,18%"
"31/12/2020","3,5265","3,5535","3,5535","3,5145","2,02K","-0,87%"
"30/12/2020","3,5575","3,5580","3,5875","3,5510","1,36K","-0,14%"
"29/12/2020","3,5625","3,5870","3,5995","3,5525","1,97K","-0,49%"
"28/12/2020","3,5800","3,5985","3,6185","3,5785","0,42K","0,25%"
"24/12/2020","3,5710","3,5520","3,5760","3,5445","0,97K","0,18%"
"23/12/2020","3,5645","3,5290","3,5695","3,4985","1,57K","0,95%"
"22/12/2020","3,5310","3,5935","3,6005","3,5170","2,15K","-1,59%"
"21/12/2020","3,5880","3,6480","3,6480","3,5570","2,86K","-1,42%"
"18/12/2020","3,6395","3,6250","3,6470","3,6085","1,69K","0,92%"
"17/12/2020","3,6065","3,5705","3,6175","3,5705","1,32K","1,18%"
"16/12/2020","3,5645","3,5490","3,5830","3,5465","2,47K","0,32%"
"15/12/2020","3,5530","3,5225","3,5540","3,5190","1,64K","0,42%"
"14/12/2020","3,5380","3,5535","3,5585","3,5200","2,43K","0,01%"
"11/12/2020","3,5375","3,6145","3,6145","3,5105","2,70K","-1,26%"
"10/12/2020","3,5825","3,4740","3,5960","3,4740","2,81K","1,72%"
"09/12/2020","3,5220","3,5250","3,5380","3,5000","2,64K","0,38%"
"08/12/2020","3,5085","3,4925","3,5145","3,4790","2,27K","-0,48%"
"07/12/2020","3,5255","3,5460","3,5460","3,4920","2,90K","-0,16%"
"04/12/2020","3,5310","3,5035","3,5360","3,5035","1,49K","1,02%"
"03/12/2020","3,4955","3,4940","3,5235","3,4810","2,99K","0,07%"
"02/12/2020","3,4930","3,4915","3,5140","3,4465","2,15K","0,01%"
"01/12/2020","3,4925","3,4485","3,5225","3,4485","2,46K","1,39%"
"30/11/2020","3,4445","3,4320","3,5075","3,4320","2,20K","0,64%"
"27/11/2020","3,4225","3,3610","3,4280","3,3600","1,60K","2,23%"
"26/11/2020","3,3478","3,3117","3,3585","3,3090","-","0,26%"
"25/11/2020","3,3390","3,3295","3,3405","3,3120","1,75K","0,38%"
"24/11/2020","3,3265","3,3000","3,3390","3,2995","2,83K","1,23%"
"23/11/2020","3,2860","3,3090","3,3090","3,2630","1,75K","-0,83%"
"20/11/2020","3,3135","3,2445","3,3200","3,2445","3,67K","2,62%"
"19/11/2020","3,2290","3,2155","3,2420","3,1980","1,71K","0,23%"
"18/11/2020","3,2215","3,2290","3,2490","3,2200","1,93K","0,08%"
"17/11/2020","3,2190","3,2440","3,2470","3,2000","1,80K","-0,56%"
"16/11/2020","3,2370","3,2360","3,2650","3,2235","2,51K","1,44%"
"13/11/2020","3,1910","3,1500","3,1985","3,1500","1,96K","0,98%"
"12/11/2020","3,1600","3,1580","3,1745","3,1380","2,63K","0,30%"
"11/11/2020","3,1505","3,1780","3,1900","3,1335","2,84K","-0,69%"
"10/11/2020","3,1725","3,1700","3,1750","3,1150","4,29K","0,08%"
"09/11/2020","3,1700","3,1925","3,2160","3,1490","3,29K","0,09%"
"06/11/2020","3,1670","3,1180","3,1815","3,1180","6,48K","1,49%"
"05/11/2020","3,1205","3,1105","3,1410","3,0925","0,72K","0,29%"
"04/11/2020","3,1115","3,1085","3,1225","3,0440","1,02K","0,57%"
"03/11/2020","3,0940","3,0955","3,1190","3,0935","0,98K","0,18%"
"02/11/2020","3,0885","3,0640","3,0970","3,0605","0,55K","0,95%"
"30/10/2020","3,0595","3,0640","3,0770","3,0560","0,69K","-0,24%"
"29/10/2020","3,0670","3,0910","3,0990","3,0580","0,37K","-0,23%"
"28/10/2020","3,0740","3,0900","3,1125","3,0595","0,41K","-0,95%"
"27/10/2020","3,1035","3,0970","3,1155","3,0960","0,62K","0,32%"
"26/10/2020","3,0935","3,1275","3,1275","3,0885","0,49K","-1,21%"
"23/10/2020","3,1315","3,1395","3,1555","3,1280","0,36K","-0,71%"
"22/10/2020","3,1540","3,1875","3,1875","3,1450","1,01K","-1,16%"
"21/10/2020","3,1910","3,1500","3,1920","3,1500","0,51K","1,54%"
"20/10/2020","3,1425","3,1000","3,1625","3,0985","1,23K","1,73%"
"19/10/2020","3,0890","3,0775","3,1050","3,0710","0,72K","0,52%"
"16/10/2020","3,0730","3,0870","3,0885","3,0625","1,36K","-0,73%"
"15/10/2020","3,0955","3,0670","3,0955","3,0510","1,14K","0,90%"
"14/10/2020","3,0680","3,0600","3,0800","3,0590","0,56K","0,33%"
"13/10/2020","3,0580","3,0590","3,0670","3,0440","0,96K","-0,54%"
"12/10/2020","3,0745","3,0790","3,0935","3,0665","1,01K","-0,26%"
"09/10/2020","3,0825","3,0715","3,0900","3,0540","1,90K","1,17%"
"08/10/2020","3,0470","3,0340","3,0525","3,0275","1,20K","0,00%"
"07/10/2020","3,0470","2,9580","3,0665","2,9550","1,54K","2,11%"
