Date,Price,Open,High,Low,Vol.,Change %
01-Jan-21,1901.6,1901.6,1901.6,1901.6,-,-0.65%
31-Dec-20,1914,1910,1915.2,1902.9,0.25K,0.12%
30-Dec-20,1911.8,1913.9,1913.9,1913.9,0.12K,0.58%
29-Dec-20,1900.8,1893.2,1900.3,1890.5,0.30K,0.15%
28-Dec-20,1898,1900.8,1912,1885.8,0.15K,-0.11%
24-Dec-20,1900,1888.9,1897,1886.9,0.08K,0.31%
23-Dec-20,1894.2,1881.5,1892.3,1872.6,0.14K,0.41%
22-Dec-20,1886.5,1891.1,1892,1875.6,0.07K,-0.62%
21-Dec-20,1898.3,1906.7,1906.7,1906.7,0.08K,-0.29%
18-Dec-20,1903.9,1893.6,1903.7,1892.1,0.06K,-0.05%
17-Dec-20,1904.9,1907.8,1907.9,1904.6,0.18K,1.67%
16-Dec-20,1873.7,1871.2,1876,1864.9,0.00K,0.15%
15-Dec-20,1870.9,1850.2,1865.7,1850.2,0.50K,1.24%
14-Dec-20,1847.9,1848.3,1849.1,1830,0.04K,-0.58%
11-Dec-20,1858.7,1848.9,1859.5,1836.6,0.05K,0.33%
10-Dec-20,1852.5,1866.3,1866.3,1866.3,0.01K,-0.03%
09-Dec-20,1853.1,1883.1,1883.1,1844,0.11K,-1.94%
08-Dec-20,1889.8,1877,1886.6,1874.5,0.20K,0.45%
07-Dec-20,1881.3,1856.9,1873.2,1850,0.18K,1.39%
04-Dec-20,1855.6,1850,1860.4,1842.8,0.07K,0.03%
03-Dec-20,1855.1,1859.6,1862.3,1858.8,0.01K,0.57%
02-Dec-20,1844.6,1844.3,1844.3,1836.9,0.06K,0.55%
01-Dec-20,1834.6,1826.8,1826.8,1826.8,0.06K,2.08%
30-Nov-20,1797.2,1795.1,1795.1,1788,0.04K,-0.42%
27-Nov-20,1804.8,1836.7,1836.8,1836.7,0.03K,-0.12%
26-Nov-20,1807,1806.25,1816.8,1804.2,-,-1.12%
25-Nov-20,1827.5,1835.9,1835.9,1825,0.11K,-0.08%
24-Nov-20,1829,1826.6,1828,1826.6,0.01K,-1.81%
23-Nov-20,1862.7,1885.2,1889.6,1846.5,0.00K,-1.77%
20-Nov-20,1896.3,1889.7,1893.8,1889.7,0.00K,0.58%
19-Nov-20,1885.3,1873.3,1877.5,1870,0.17K,-0.62%
18-Nov-20,1897.1,1894.5,1894.5,1894.5,0.06K,-0.72%
17-Nov-20,1910.9,1906.2,1906.2,1903.5,0.11K,-0.20%
16-Nov-20,1914.8,1903.1,1904.7,1903,0.08K,-0.06%
13-Nov-20,1915.9,1894.9,1913.9,1894.9,0.13K,0.69%
12-Nov-20,1902.8,1897.5,1897.5,1897.5,0.00K,0.67%
11-Nov-20,1890.2,1886.5,1886.5,1886.5,0.01K,-0.85%
10-Nov-20,1906.5,1900.1,1900.1,1900.1,0.00K,1.19%
09-Nov-20,1884,1896.8,1896.8,1896.8,0.02K,-4.95%
06-Nov-20,1982.2,1975.1,1975.1,1975.1,0.00K,0.29%
05-Nov-20,1976.4,1948.4,1968.3,1948.4,0.00K,2.66%
04-Nov-20,1925.1,1936.7,1936.7,1936.7,0.00K,-0.70%
03-Nov-20,1938.6,1912.6,1928,1912.6,0.22K,0.91%
02-Nov-20,1921.1,1920.9,1920.9,1920.9,0.00K,0.67%
30-Oct-20,1908.3,1900.5,1900.5,1900.5,0.00K,0.60%
29-Oct-20,1896.9,1907.6,1907.6,1907.6,0.01K,-0.63%
28-Oct-20,1908.9,1909.7,1909.7,1909.7,0.00K,-1.70%
27-Oct-20,1942,1921.4,1933.5,1921.4,0.06K,0.31%
26-Oct-20,1936,1919,1926.1,1919,0.06K,0.05%
23-Oct-20,1935.1,1926.3,1926.4,1924.6,0.04K,0.05%
22-Oct-20,1934.1,1940.5,1940.5,1907.6,0.18K,-1.25%
21-Oct-20,1958.5,1925.1,1948.6,1925.1,0.16K,0.72%
20-Oct-20,1944.5,1922.9,1936.6,1921.9,0.11K,0.17%
19-Oct-20,1941.2,1941.9,1941.9,1941.9,0.12K,0.25%
16-Oct-20,1936.4,1934.4,1934.4,1927.5,0.06K,-0.12%
15-Oct-20,1938.8,1923.2,1923.2,1919.2,0.00K,0.04%
14-Oct-20,1938,1929.4,1929.4,1926.7,0.25K,0.70%
13-Oct-20,1924.5,1939.9,1939.9,1939.9,0.01K,-1.75%
12-Oct-20,1958.7,1953.5,1957.7,1948.7,0.01K,0.14%
09-Oct-20,1956,1930.5,1956.2,1929.5,0.01K,1.58%
08-Oct-20,1925.5,1902.8,1916.2,1899,0.00K,0.31%
07-Oct-20,1919.5,1918.1,1918.1,1918.1,0.01K,-0.87%
06-Oct-20,1936.3,1937.2,1942.2,1900.5,0.10K,-0.55%
05-Oct-20,1947,1937,1937,1937,0.11K,0.65%
02-Oct-20,1934.4,1929.6,1933.7,1921.3,0.12K,-0.45%
01-Oct-20,1943.2,1927.6,1935.5,1921.2,0.18K,1.07%
30-Sep-20,1922.7,1925.1,1925.1,1925.1,0.00K,-0.39%
29-Sep-20,1930.2,1907.4,1921.2,1907.4,0.05K,1.10%
28-Sep-20,1909.2,1883.7,1905.5,1872,0.35K,0.86%
25-Sep-20,1892.9,1885.1,1885.1,1880,0.06K,-0.54%
24-Sep-20,1903.1,1879.9,1892.6,1874.7,0.26K,0.41%
23-Sep-20,1895.3,1919.4,1919.4,1919.4,0.01K,-2.11%
22-Sep-20,1936.1,1937.9,1940.5,1925.5,0.09K,-0.13%
21-Sep-20,1938.6,1945.5,1945.5,1945.5,0.00K,-2.61%
18-Sep-20,1990.5,1974.2,1982,1973.6,0.08K,0.62%
17-Sep-20,1978.2,1970.8,1974.4,1965.3,0.13K,-1.09%
16-Sep-20,1999.9,1989.1,1997.9,1985,0.11K,0.22%
15-Sep-20,1995.6,1986.1,1997.5,1981,0.04K,0.13%
14-Sep-20,1993.1,1974.1,1987.8,1972.8,0.12K,0.84%
11-Sep-20,1976.5,1980,1980,1980,0.00K,-0.78%
10-Sep-20,1992.1,1971.1,1991.4,1969.4,0.21K,0.54%
09-Sep-20,1981.4,1952.9,1973.6,1946.4,0.01K,0.56%
08-Sep-20,1970.3,1957.5,1965.9,1938.8,0.88K,1.71%
07-Sep-20,1937.1,1940.7,1947.4,1930.45,-,-0.18%
06-Sep-20,1940.65,1941.9,1944.3,1937.65,-,-1.07%
04-Sep-20,1961.6,1956.6,1959.5,1951.9,0.17K,-0.19%
03-Sep-20,1965.4,1962,1969,1962,0.00K,-0.45%
02-Sep-20,1974.3,1988.3,1990.9,1959.9,0.00K,-1.74%
01-Sep-20,2009.3,2018.6,2018.6,1995,0.24K,-0.01%
31-Aug-20,2009.5,1991.1,2002.3,1991.1,0.00K,0.41%
28-Aug-20,2001.3,1990,1990,1990,0.00K,1.92%
27-Aug-20,1963.6,1961,1961,1961,0.00K,-1.09%
26-Aug-20,1985.3,1992,1992,1992,0.00K,1.49%
25-Aug-20,1956.1,1958.3,1958.4,1958.3,0.00K,-0.87%
24-Aug-20,1973.3,1962.5,1979.4,1955.9,0.11K,-0.37%
21-Aug-20,1980.6,1982.3,1982.3,1959.9,0.12K,0.02%
20-Aug-20,1980.2,1968.2,1971.2,1968.2,0.00K,-1.17%
19-Aug-20,2003.6,2005.5,2005.5,2000.6,0.00K,-2.15%
18-Aug-20,2047.7,2024.4,2041.1,2023.2,0.08K,0.74%
17-Aug-20,2032.6,1981.7,2012.3,1971.6,0.11K,2.25%
14-Aug-20,1987.8,2000,2000,1992,0.01K,-1.09%
13-Aug-20,2009.7,1996.1,2001.5,1979.6,0.01K,1.10%
12-Aug-20,1987.9,1964,1964,1964,0.00K,0.02%
11-Aug-20,1987.5,2063.7,2063.7,1994.3,0.01K,-4.64%
10-Aug-20,2084.2,2068.7,2080,2065,0.09K,0.54%
07-Aug-20,2073,2121.7,2121.7,2121.7,0.00K,-2.00%
06-Aug-20,2115.2,2086.7,2115,2085.9,0.00K,1.05%
05-Aug-20,2093.3,2098.5,2098.5,2090.5,0.00K,1.47%
04-Aug-20,2062.9,2024.6,2068.4,2018.7,0.39K,1.73%
03-Aug-20,2027.9,2026.9,2040,2015.4,0.42K,0.05%
31-Jul-20,2026.9,2005.2,2035,2005.2,0.27K,1.01%
30-Jul-20,2006.7,2016,2016,1988.9,0.03K,-0.51%
29-Jul-20,2017,2001,2025,2001,0.00K,0.56%
28-Jul-20,2005.7,2008.1,2028.1,1967.2,0.16K,0.42%
27-Jul-20,1997.4,1964.8,1999.9,1964.8,0.18K,1.61%
24-Jul-20,1965.7,1941.8,1961,1941,0.31K,0.54%
23-Jul-20,1955.2,1923.3,1945,1923.3,0.57K,1.48%
22-Jul-20,1926.6,1909.5,1924.2,1906.4,0.13K,1.46%
21-Jul-20,1898.9,1867.6,1891.3,1867,0.14K,1.68%
20-Jul-20,1867.6,1862,1862.4,1862,0.03K,0.35%
17-Jul-20,1861,1840.6,1851,1840.1,0.01K,0.37%
16-Jul-20,1854.1,1856,1856,1856,0.03K,-0.82%
15-Jul-20,1869.4,1862.3,1863.1,1854.3,0.10K,-0.01%
14-Jul-20,1869.5,1850,1863.9,1850,0.06K,-0.10%
13-Jul-20,1871.4,1857.3,1858.3,1857.3,0.10K,0.72%
10-Jul-20,1858.1,1853.7,1853.7,1851.3,0.12K,-0.11%
09-Jul-20,1860.1,1871.9,1871.9,1871.9,0.12K,-0.89%
08-Jul-20,1876.8,1851.8,1867.6,1851.8,0.25K,1.11%
07-Jul-20,1856.2,1833.9,1853.6,1833.9,0.30K,1.17%
06-Jul-20,1834.7,1825.8,1828.6,1825.8,1.74K,2.63%
03-Jul-20,1787.6,1786.9,1788.7,1783.65,-,-2.23%
02-Jul-20,1828.3,1799,1821.3,1798.8,0.17K,0.57%
01-Jul-20,1818,1830,1838,1830,0.45K,-1.01%
30-Jun-20,1836.5,1816.9,1835,1813.9,0.04K,1.13%
29-Jun-20,1816,1816.5,1816.5,1811.2,0.09K,0.09%
26-Jun-20,1814.4,1798.2,1814,1798,0.10K,0.55%
25-Jun-20,1804.4,1800,1800,1800,0.05K,-0.23%
24-Jun-20,1808.6,1806.5,1806.5,1806.5,0.30K,-0.25%
23-Jun-20,1813.1,1803,1803,1803,0.26K,0.83%
22-Jun-20,1798.2,1787,1798.4,1783.1,0.07K,0.69%
19-Jun-20,1785.8,1767,1786.9,1761.8,0.52K,1.14%
18-Jun-20,1765.6,1775,1775,1762.3,0.08K,-0.32%
17-Jun-20,1771.3,1768.2,1768.2,1768.2,0.02K,-0.05%
16-Jun-20,1772.1,1770,1770,1770,0.20K,0.56%
15-Jun-20,1762.3,1770.3,1770.3,1760,0.02K,-0.54%
12-Jun-20,1771.8,1780.4,1780.5,1780.4,0.56K,-0.18%
11-Jun-20,1775,1784.1,1786.4,1762.3,0.81K,1.00%
10-Jun-20,1757.4,1760.9,1760.9,1753.3,0.00K,-0.09%
09-Jun-20,1758.9,1755.2,1757.6,1755.2,0.54K,0.94%
08-Jun-20,1742.5,1739.4,1739.4,1739.4,0.05K,1.31%
05-Jun-20,1720,1741.7,1741.7,1704.6,0.11K,-2.44%
04-Jun-20,1763,1747.6,1752,1747.6,0.16K,1.54%
03-Jun-20,1736.2,1760,1760,1727.5,0.45K,-1.54%
02-Jun-20,1763.3,1774.5,1775.3,1774.5,0.11K,-0.78%
01-Jun-20,1777.1,1775.5,1775.5,1772.8,0.06K,0.02%
29-May-20,1776.8,1748.2,1771.5,1748.2,0.11K,1.34%
28-May-20,1753.3,1748.8,1757.3,1748.8,0.18K,0.20%
27-May-20,1749.8,1725,1727.4,1722.5,0.01K,0.06%
26-May-20,1748.8,1762.9,1764,1762.9,0.08K,1.26%
25-May-20,1727,1730.55,1731.35,1719.25,-,-0.21%
24-May-20,1730.65,1735.45,1735.9,1729.8,-,-2.49%
22-May-20,1774.9,1773.5,1773.5,1771.9,0.47K,0.82%
21-May-20,1760.5,1780.1,1780.1,1753.6,0.15K,-1.76%
20-May-20,1792.1,1784,1791.2,1784,0.08K,0.39%
19-May-20,1785.1,1784.2,1784.2,1784.2,0.00K,0.71%
18-May-20,1772.6,1795.4,1795.4,1795.4,0.14K,-0.99%
15-May-20,1790.4,1776.2,1781.5,1776.2,0.45K,0.90%
14-May-20,1774.4,1747.1,1747.1,1747.1,0.00K,1.38%
13-May-20,1750.3,1729.1,1750.3,1729.1,0.01K,0.49%
12-May-20,1741.7,1733.2,1734.5,1731.9,0.01K,0.42%
11-May-20,1734.4,1727.7,1734.2,1714.2,0.05K,-0.91%
08-May-20,1750.3,1747.8,1747.8,1747.8,0.00K,-0.61%
07-May-20,1761.1,1718.9,1722.8,1718.5,0.05K,2.29%
06-May-20,1721.7,1728.4,1728.4,1713,0.01K,-1.27%
05-May-20,1743.8,1725.8,1739.1,1725.8,0.40K,0.16%
04-May-20,1741,1729.1,1729.1,1725.7,0.03K,1.16%
01-May-20,1721.1,1720.1,1720.1,1720.1,0.01K,0.46%
30-Apr-20,1713.2,1706.4,1706.4,1706.4,0.05K,-0.99%
29-Apr-20,1730.3,1727.6,1744.1,1727.6,0.01K,-0.48%
28-Apr-20,1738.7,1731.8,1740,1712.7,3.06K,-0.01%
27-Apr-20,1738.8,1746.7,1753,1726.8,0.13K,-0.58%
24-Apr-20,1748.9,1759,1759,1745,0.00K,-0.51%
23-Apr-20,1757.8,1753.1,1762.2,1753.1,0.00K,0.46%
22-Apr-20,1749.8,1709.5,1709.5,1709.5,0.01K,3.04%
21-Apr-20,1698.2,1722.2,1722.2,1679.6,0.08K,-1.34%
20-Apr-20,1721.3,1715.6,1715.6,1715.6,0.00K,0.73%
17-Apr-20,1708.9,1717.8,1717.8,1717.8,0.02K,-1.94%
16-Apr-20,1742.7,1766.5,1766.5,1766.5,0.00K,-0.50%
15-Apr-20,1751.5,1760.7,1762.7,1736.4,0.00K,-1.42%
14-Apr-20,1776.8,1779.1,1779.1,1776.5,0.01K,0.50%
13-Apr-20,1767.9,1732.5,1758,1732.5,0.03K,1.57%
10-Apr-20,1740.6,1740.6,1740.6,1740.6,-,-1.03%
09-Apr-20,1758.7,1747.5,1747.5,1747.5,0.00K,4.11%
08-Apr-20,1689.3,1690.1,1690.1,1690.1,0.02K,-0.01%
07-Apr-20,1689.4,1688.8,1688.8,1688.8,0.02K,-0.62%
06-Apr-20,1700,1685.3,1688.6,1685.3,0.00K,2.77%
03-Apr-20,1654.1,1639,1651.5,1625.3,0.14K,0.45%
02-Apr-20,1646.7,1636.4,1636.4,1636.4,0.29K,2.82%
01-Apr-20,1601.6,1594.4,1594.4,1594.4,0.18K,-0.32%
31-Mar-20,1606.7,1625.3,1625.3,1625.3,0.06K,-2.82%
30-Mar-20,1653.3,1646.9,1646.9,1646.9,0.10K,-0.46%
27-Mar-20,1661,1647.1,1647.1,1647.1,0.27K,-0.44%
26-Mar-20,1668.3,1674.3,1674.3,1659.4,0.01K,1.79%
25-Mar-20,1639,1650.9,1656.6,1650.5,0.06K,-1.81%
24-Mar-20,1669.2,1594.6,1653.5,1594.6,0.03K,5.09%
23-Mar-20,1588.3,1514.6,1572.8,1502.6,0.01K,5.79%
20-Mar-20,1501.4,1515.8,1515.8,1515.8,0.01K,0.28%
19-Mar-20,1497.2,1496.6,1508,1476.9,0.01K,0.17%
18-Mar-20,1494.6,1520.6,1520.6,1502.3,0.32K,-3.02%
17-Mar-20,1541.1,1504.5,1561.5,1476.3,0.01K,2.74%
16-Mar-20,1500,1485,1503,1485,0.01K,-2.10%
13-Mar-20,1532.2,1591,1591,1529.3,0.10K,-4.62%
12-Mar-20,1606.5,1654.3,1654.3,1581.5,0.01K,-3.12%
11-Mar-20,1658.3,1670,1670,1653.1,0.03K,-1.09%
10-Mar-20,1676.6,1675.9,1675.9,1662.1,0.19K,-0.88%
09-Mar-20,1691.5,1709.9,1710.1,1672.9,0.13K,-0.01%
06-Mar-20,1691.6,1696,1703.6,1686.3,0.07K,0.07%
05-Mar-20,1690.5,1655.7,1671,1655.2,0.18K,1.42%
04-Mar-20,1666.9,1664.2,1664.5,1664.2,0.22K,-0.19%
03-Mar-20,1670,1606.5,1663.8,1606.5,0.06K,3.05%
02-Mar-20,1620.6,1602.5,1624.3,1600.2,0.25K,1.50%
28-Feb-20,1596.6,1595.2,1617.8,1595.2,0.56K,-4.76%
27-Feb-20,1676.4,1679,1684.4,1670,0.01K,-0.11%
26-Feb-20,1678.2,1677.6,1677.6,1677.6,0.02K,-0.49%
25-Feb-20,1686.4,1681,1683.6,1681,0.54K,-1.58%
24-Feb-20,1713.5,1707.4,1707.4,1707.4,0.02K,1.61%
21-Feb-20,1686.3,1672.3,1678.1,1672.3,0.08K,1.71%
20-Feb-20,1658,1641.4,1651.9,1641.4,0.12K,0.52%
19-Feb-20,1649.5,1639.8,1641.4,1636.2,0.04K,0.51%
18-Feb-20,1641.1,1617.3,1634.8,1617.3,0.07K,3.41%
17-Feb-20,1587.05,1586.15,1588.45,1581.85,-,0.05%
16-Feb-20,1586.25,1585.5,1586.25,1583.45,-,-2.33%
14-Feb-20,1624.1,1601,1608.4,1597.3,0.03K,0.44%
13-Feb-20,1617,1607.9,1608.1,1607.9,0.00K,0.45%
12-Feb-20,1609.8,1590.8,1593.9,1587.5,2.05K,0.06%
11-Feb-20,1608.8,1606.7,1606.9,1606.7,0.00K,-0.58%
10-Feb-20,1618.2,1606.7,1606.7,1606.7,0.00K,0.33%
07-Feb-20,1612.8,1591,1598.3,1588.4,0.00K,0.21%
06-Feb-20,1609.5,1580.7,1592.4,1579.3,0.07K,0.46%
05-Feb-20,1602.2,1579.4,1587,1573,2.05K,0.45%
04-Feb-20,1595,1602.3,1602.3,1576,0.03K,-1.60%
03-Feb-20,1621,1606,1606,1606,0.00K,-0.31%
31-Jan-20,1626.1,1599.7,1615.3,1597.7,0.00K,-0.07%
30-Jan-20,1627.3,1601.6,1612,1599,0.03K,0.79%
29-Jan-20,1614.5,1594.5,1603.6,1589.3,0.03K,0.08%
28-Jan-20,1613.2,1606.7,1607.1,1593.4,10.91K,-0.47%
27-Jan-20,1620.8,1616.8,1617.8,1616.8,0.00K,0.33%
24-Jan-20,1615.4,1595,1609.5,1595,0.05K,0.44%
23-Jan-20,1608.3,1585,1593.5,1580.1,1.75K,0.54%
22-Jan-20,1599.7,1583.1,1585.5,1577.6,0.07K,-0.08%
21-Jan-20,1601,1595,1595,1595,0.00K,2.55%
20-Jan-20,1561.25,1557.2,1562.7,1556.65,-,0.27%
19-Jan-20,1557.05,1557.4,1559.05,1556.45,-,-2.89%
17-Jan-20,1603.4,1578.6,1588,1577.1,1.54K,0.65%
16-Jan-20,1593,1580.4,1583.4,1575,0.03K,-0.23%
15-Jan-20,1596.6,1587.8,1587.8,1587.8,0.00K,0.57%
14-Jan-20,1587.5,1573.2,1573.9,1563.4,1.76K,-0.39%
13-Jan-20,1593.7,1586.8,1586.8,1574.9,2.70K,-0.60%
10-Jan-20,1603.3,1577.6,1589.6,1574.1,0.11K,0.34%
09-Jan-20,1597.8,1583,1587.5,1570.2,1.43K,-0.37%
08-Jan-20,1603.8,1612.6,1638.4,1612.6,0.02K,-0.92%
07-Jan-20,1618.7,1602.6,1602.6,1602.6,0.07K,0.33%
06-Jan-20,1613.3,1608.2,1612.4,1600.3,0.01K,1.06%
03-Jan-20,1596.4,1591,1592.1,1588.6,0.41K,1.55%
02-Jan-20,1572.1,1548.7,1559.5,1548.2,1.25K,3.36%
01-Jan-20,1520.95,1520.85,1523.95,1520.85,-,-2.98%
31-Dec-19,1567.6,1546.7,1555,1546.4,0.67K,0.34%
30-Dec-19,1562.3,1543.9,1545.5,1540.1,0.46K,0.07%
27-Dec-19,1561.2,1540.7,1545,1540,0.29K,0.26%
26-Dec-19,1557.1,1544.2,1544.2,1544.2,0.00K,3.53%
25-Dec-19,1504.05,1504.4,1504.4,1502.15,-,-2.80%
24-Dec-19,1547.3,1518.6,1530.1,1518.6,0.45K,1.05%
