Date,Day,Price
03-01-11,Mon,1422.6
04-01-11,Tue,1378.5
05-01-11,Wed,1373.4
06-01-11,Thu,1371.4
07-01-11,Fri,1368.5
10-01-11,Mon,1373.7
11-01-11,Tue,1384
12-01-11,Wed,1385.7
13-01-11,Thu,1386.9
14-01-11,Fri,1360.4
17-01-11,Mon,1364.25
18-01-11,Tue,1368.1
19-01-11,Wed,1370.2
20-01-11,Thu,1346.5
21-01-11,Fri,1341
24-01-11,Mon,1344.5
25-01-11,Tue,1332.3
26-01-11,Wed,1333
27-01-11,Thu,1318.4
28-01-11,Fri,1340.7
31-01-11,Mon,1333.8
01-02-11,Tue,1339.6
02-02-11,Wed,1331.5
03-02-11,Thu,1352.3
04-02-11,Fri,1348.3
07-02-11,Mon,1347.6
08-02-11,Tue,1363.4
09-02-11,Wed,1364.8
10-02-11,Thu,1361.9
11-02-11,Fri,1359.9
14-02-11,Mon,1364.6
15-02-11,Tue,1373.6
16-02-11,Wed,1374.7
17-02-11,Thu,1384.7
18-02-11,Fri,1388.2
21-02-11,Mon,1394.35
22-02-11,Tue,1400.5
23-02-11,Wed,1413.4
24-02-11,Thu,1415.3
25-02-11,Fri,1408.7
28-02-11,Mon,1409.3
01-03-11,Tue,1430.7
02-03-11,Wed,1437.2
03-03-11,Thu,1416
04-03-11,Fri,1428.2
07-03-11,Mon,1434.1
08-03-11,Tue,1426.9
09-03-11,Wed,1429.3
10-03-11,Thu,1412.2
11-03-11,Fri,1421.5
14-03-11,Mon,1424.6
15-03-11,Tue,1392.6
16-03-11,Wed,1396
17-03-11,Thu,1404
18-03-11,Fri,1415.9
21-03-11,Mon,1426.2
22-03-11,Tue,1427.5
23-03-11,Wed,1437.9
24-03-11,Thu,1434.8
25-03-11,Fri,1426.1
28-03-11,Mon,1419.8
29-03-11,Tue,1416
30-03-11,Wed,1423.8
31-03-11,Thu,1438.9
01-04-11,Fri,1428.1
04-04-11,Mon,1432.2
05-04-11,Tue,1451.8
06-04-11,Wed,1457.7
07-04-11,Thu,1458.5
08-04-11,Fri,1473.4
11-04-11,Mon,1467.4
12-04-11,Tue,1452.9
13-04-11,Wed,1454.9
14-04-11,Thu,1471.7
15-04-11,Fri,1485.3
18-04-11,Mon,1492.3
19-04-11,Tue,1494.5
20-04-11,Wed,1498.3
21-04-11,Thu,1503.2
22-04-11,Fri,1505.9
25-04-11,Mon,1508.6
26-04-11,Tue,1503
27-04-11,Wed,1516.7
28-04-11,Thu,1530.8
29-04-11,Fri,1556
02-05-11,Mon,1556.7
03-05-11,Tue,1540.1
04-05-11,Wed,1514.9
05-05-11,Thu,1480.9
06-05-11,Fri,1491.2
09-05-11,Mon,1502.9
10-05-11,Tue,1516.6
11-05-11,Wed,1501.1
12-05-11,Thu,1506.6
13-05-11,Fri,1493.4
16-05-11,Mon,1490.4
17-05-11,Tue,1479.8
18-05-11,Wed,1495.6
19-05-11,Thu,1492.2
20-05-11,Fri,1508.8
23-05-11,Mon,1515.3
24-05-11,Tue,1523.2
